"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
20/03/2023;-;"3,130 %";06/01/2023
01/05/2023;"1 000,00";"3,040 %";30/01/2023
07/08/2023;"7 270,00";"3,150 %";06/02/2023
19/02/2024;"1 993,00";"3,510 %";13/02/2023
19/05/2025;"5 103,00";"3,850 %";13/02/2023
17/04/2028;749,00;"3,920 %";16/01/2023
16/06/2031;-;"4,120 %";06/01/2023
20/06/2033;249,00;"4,230 %";16/01/2023
16/04/2040;-;"4,630 %";06/01/2023
17/08/2043;30,00;"4,780 %";16/01/2023
20/02/2051;-;"5,120 %";06/01/2023
Total;"16 394,00";;
