"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,220 %";31/12/2025
20/04/2026;0,00;"2,250 %";31/12/2025
15/06/2026;0,00;"2,250 %";31/12/2025
06/07/2026;0,00;"2,190 %";05/01/2026
20/07/2026;0,00;"2,210 %";31/12/2025
14/09/2026;0,00;"2,220 %";31/12/2025
19/10/2026;0,00;"2,160 %";31/12/2025
15/03/2027;0,00;"2,350 %";31/12/2025
17/07/2028;0,00;"2,520 %";05/01/2026
14/04/2031;0,00;"2,650 %";31/12/2025
18/06/2035;0,00;"2,920 %";31/12/2025
18/07/2039;0,00;"3,210 %";31/12/2025
14/08/2045;0,00;"3,430 %";31/12/2025
19/04/2055;0,00;"3,850 %";31/12/2025
Total;0,00;;
