"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
17/11/2025;0,00;"2,180 %";28/08/2025
19/01/2026;0,00;"2,190 %";28/08/2025
16/03/2026;0,00;"2,200 %";28/08/2025
15/03/2027;0,00;"2,210 %";28/08/2025
15/04/2030;0,00;"2,380 %";28/08/2025
14/10/2030;0,00;"2,410 %";28/08/2025
18/06/2035;0,00;"2,720 %";28/08/2025
18/07/2039;0,00;"3,000 %";28/08/2025
14/08/2045;0,00;"3,290 %";28/08/2025
19/04/2055;0,00;"3,730 %";28/08/2025
Total;0,00;;
