"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,200 %";01/12/2025
16/03/2026;0,00;"2,270 %";01/12/2025
14/09/2026;0,00;"2,290 %";01/12/2025
15/03/2027;0,00;"2,420 %";01/12/2025
15/04/2030;0,00;"2,650 %";01/12/2025
14/04/2031;0,00;"2,700 %";01/12/2025
18/06/2035;0,00;"3,000 %";01/12/2025
18/07/2039;0,00;"3,250 %";01/12/2025
14/08/2045;0,00;"3,440 %";01/12/2025
19/04/2055;0,00;"3,850 %";01/12/2025
Total;0,00;;
