"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/02/2024;-;"2,790 %";12/01/2024
20/05/2024;-;"2,800 %";12/01/2024
15/07/2024;-;"2,920 %";12/01/2024
18/08/2025;-;"3,140 %";12/01/2024
17/05/2027;-;"3,250 %";12/01/2024
17/06/2030;-;"3,360 %";12/01/2024
20/06/2033;-;"3,580 %";12/01/2024
19/07/2038;-;"3,860 %";12/01/2024
16/04/2040;-;"4,150 %";12/01/2024
20/02/2051;-;"4,950 %";12/01/2024
Total;0,00;;
