"Taux de référence des bons du Trésor"
"En millions de dirhams"
"Date d'échéance";Transaction;"Taux moyen pondéré";"Date de la valeur"
19/01/2026;0,00;"2,180 %";23/10/2025
16/03/2026;0,00;"2,230 %";23/10/2025
14/09/2026;0,00;"2,240 %";23/10/2025
15/03/2027;0,00;"2,340 %";23/10/2025
15/04/2030;0,00;"2,590 %";23/10/2025
14/04/2031;0,00;"2,650 %";23/10/2025
18/06/2035;0,00;"2,880 %";23/10/2025
18/07/2039;0,00;"3,150 %";23/10/2025
14/08/2045;0,00;"3,350 %";23/10/2025
19/04/2055;0,00;"3,780 %";23/10/2025
Total;0,00;;
